base_currency,datetime,rate
BDT,2013-3,0.012725
BDT,2013-2,0.012679
BDT,2013-1,0.012556
BDT,2012-12,0.012377
BDT,2012-11,0.012278
BDT,2012-10,0.012284
BDT,2012-9,0.012231
BDT,2012-8,0.012264
BDT,2012-7,0.012207
BDT,2012-6,0.01222
BDT,2012-5,0.012205
BDT,2012-4,0.012216
BDT,2012-3,0.012228
BDT,2012-2,0.012016
BDT,2012-1,0.012036
BDT,2011-12,0.012706
BDT,2011-11,0.013072
BDT,2011-10,0.01323
BDT,2011-9,0.013419
BDT,2011-8,0.013464
BDT,2011-7,0.013432
BDT,2011-6,0.013541999999999998
BDT,2011-5,0.013647
BDT,2011-4,0.01374
BDT,2011-3,0.013916
BDT,2011-2,0.014077
BDT,2011-1,0.014094999999999996
BDT,2010-12,0.014176
BDT,2010-11,0.014199000000000003
BDT,2010-10,0.014258000000000003
BDT,2010-9,0.014388
BDT,2010-8,0.014408
BDT,2010-7,0.014403999999999997
BDT,2010-6,0.014415
BDT,2010-5,0.014433
BDT,2010-4,0.014452
BDT,2010-3,0.014446
BDT,2010-2,0.014464
BDT,2010-1,0.014469999999999997
BDT,2009-12,0.014472
BDT,2009-11,0.014519999999999996
BDT,2009-10,0.014512
BDT,2009-9,0.014518
BDT,2009-8,0.014519999999999996
BDT,2009-7,0.014502
BDT,2009-6,0.014506
BDT,2009-5,0.014516
BDT,2009-4,0.01449
BDT,2009-3,0.014554
BDT,2009-2,0.014558
BDT,2009-1,0.014552
BDT,2008-12,0.014568
BDT,2008-11,0.014563
BDT,2008-10,0.014578
BDT,2008-9,0.014632
BDT,2008-8,0.014578
BDT,2008-7,0.014588
BDT,2008-6,0.014597
BDT,2008-5,0.014612
BDT,2008-4,0.014568
BDT,2008-3,0.014612
BDT,2008-2,0.014602
BDT,2008-1,0.014587
BDT,2007-12,0.01459
BDT,2007-11,0.014622
BDT,2007-10,0.014632
BDT,2007-9,0.014588
BDT,2007-8,0.014614
BDT,2007-7,0.014572
BDT,2007-6,0.014526
BDT,2007-5,0.014496
BDT,2007-4,0.014527000000000003
BDT,2007-3,0.01451
BDT,2007-2,0.014509
BDT,2007-1,0.014383000000000003
BDT,2006-12,0.014416
BDT,2006-11,0.014482
BDT,2006-10,0.015007
BDT,2006-9,0.014859
BDT,2006-8,0.014402000000000003
BDT,2006-7,0.014421000000000003
BDT,2006-6,0.014609
BDT,2006-5,0.01463
BDT,2006-4,0.014502
BDT,2006-3,0.014581
BDT,2006-2,0.014888
BDT,2006-1,0.015074
BDT,2005-12,0.015138
BDT,2005-11,0.015204
BDT,2005-10,0.015216
BDT,2005-9,0.015221
BDT,2005-8,0.015334
BDT,2005-7,0.015563999999999996
BDT,2005-6,0.015706
BDT,2005-5,0.015744
BDT,2005-4,0.015772
BDT,2005-3,0.015834
BDT,2005-2,0.016081
BDT,2005-1,0.016632
BDT,2004-12,0.01675
BDT,2004-11,0.016819999999999998
BDT,2004-10,0.016857
BDT,2004-9,0.016855000000000002
BDT,2004-8,0.016878
BDT,2004-7,0.016858
BDT,2004-6,0.01668
BDT,2004-5,0.016844
BDT,2004-4,0.016975999999999998
BDT,2004-3,0.017003
BDT,2004-2,0.017033
BDT,2004-1,0.017051
BDT,2003-12,0.017141999999999998
BDT,2003-11,0.017152
BDT,2003-10,0.017137
BDT,2003-9,0.017137
BDT,2003-8,0.017144
BDT,2003-7,0.017164
BDT,2003-6,0.01715
BDT,2003-5,0.017218
BDT,2003-4,0.017200999999999998
BDT,2003-3,0.017197999999999998
BDT,2003-2,0.017202000000000002
BDT,2003-1,0.017223
BDT,2002-12,0.017296000000000002
BDT,2002-11,0.017274
BDT,2002-10,0.01731
BDT,2002-9,0.017306000000000002
BDT,2002-8,0.01738
BDT,2002-7,0.017434
BDT,2002-6,0.017434
BDT,2002-5,0.017491999999999997
BDT,2002-4,0.017498
BDT,2002-3,0.017494
BDT,2002-2,0.017504
BDT,2002-1,0.017534
BDT,2001-12,0.017580000000000002
BDT,2001-11,0.017572
BDT,2001-10,0.017586
BDT,2001-9,0.017566
BDT,2001-8,0.017352
BDT,2001-7,0.017346
BDT,2001-6,0.017346
BDT,2001-5,0.018374
BDT,2001-4,0.018482
BDT,2001-3,0.018483000000000003
BDT,2001-2,0.018484
BDT,2001-1,0.018488
BDT,2000-12,0.018488
BDT,2000-11,0.018495
BDT,2000-10,0.018499
BDT,2000-9,0.018515
BDT,2000-8,0.018956
BDT,2000-7,0.019608
BDT,2000-6,0.01961
BDT,2000-5,0.019609
BDT,2000-4,0.019612
BDT,2000-3,0.019609
BDT,2000-2,0.019611
BDT,2000-1,0.019611
BDT,1999-12,0.019723
BDT,1999-11,0.020202
BDT,1999-10,0.020208
BDT,1999-9,0.020203
BDT,1999-8,0.020202
BDT,1999-7,0.020452
BDT,1999-6,0.02062
BDT,1999-5,0.020619
BDT,1999-4,0.020623
BDT,1999-3,0.020622
BDT,1999-2,0.020626
BDT,1999-1,0.020624
BDT,1998-12,0.020622
BDT,1998-11,0.02062
BDT,1998-10,0.020937
BDT,1998-9,0.021232
BDT,1998-8,0.021239
BDT,1998-7,0.021271
BDT,1998-6,0.0216
BDT,1998-5,0.0216
BDT,1998-4,0.021608
BDT,1998-3,0.021598
BDT,1998-2,0.021598
BDT,1998-1,0.022002
BDT,1997-12,0.022002
BDT,1997-11,0.022164
BDT,1997-10,0.022396
BDT,1997-9,0.022446
BDT,1997-8,0.022565
BDT,1997-7,0.022819
BDT,1997-6,0.02291
BDT,1997-5,0.02291
BDT,1997-4,0.02295
BDT,1997-3,0.023282
BDT,1997-2,0.023428
BDT,1997-1,0.023558000000000003
BDT,1996-12,0.023558000000000003
BDT,1996-11,0.023558000000000003
BDT,1996-10,0.023558000000000003
BDT,1996-9,0.02363
BDT,1996-8,0.023725
BDT,1996-7,0.023898
BDT,1996-6,0.023952
BDT,1996-5,0.023952
BDT,1996-4,0.024103
BDT,1996-3,0.02439
BDT,1996-2,0.02439
BDT,1996-1,0.02442
BDT,1995-12,0.02454
BDT,1995-11,0.02454
BIF,2017-12,0.0005679999999999999
BIF,2017-11,0.00057
BIF,2017-10,0.00057
BIF,2017-9,0.000572
BIF,2017-8,0.000576
BIF,2017-7,0.00058
BIF,2017-6,0.00058
BIF,2017-5,0.000586
BIF,2017-4,0.000588
BIF,2017-3,0.000589
BIF,2017-2,0.000592
BIF,2017-1,0.000595
BIF,2016-12,0.000596
BIF,2016-11,0.000596
BIF,2016-10,0.000598
BIF,2016-9,0.000598
BIF,2016-8,0.000598
BIF,2016-7,0.000598
BIF,2016-6,0.0006230000000000001
BIF,2016-5,0.000641
BIF,2016-4,0.000642
BIF,2016-3,0.000642
BIF,2016-2,0.00064
BIF,2016-1,0.00064
BIF,2015-12,0.000642
BIF,2015-11,0.00064
BIF,2015-10,0.000641
BIF,2015-9,0.000642
BIF,2015-8,0.000642
