country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Honduras,2227.947,2359.954,2318.845,2404.007,2476.371,2585.229,2630.826,2565.389,2757.1,2838.436,2931.452,3065.809,3283.482,3527.939,3804.991,4074.289,4255.023,4113.023,4249.112,4433.719,4632.1,4768.688,4931.959,5104.192,5287.974,5561.52,5802.055
Hong Kong SAR,19906.358,21245.319,22551.116,23001.45,23843.293,25292.334,23818.98,24587.312,26775.749,27462.639,28365.175,29645.74,32947.936,36306.359,39667.916,43143.082,44760.931,43787.424,46948.237,49818.956,51156.824,53298.699,55431.184,56924.381,58344.85,61393.316,64533.422
Hungary,9976.818,10163.753,10701.509,11216.734,11440.774,12048.692,12721.266,13362.668,14285.154,15204.568,16176.699,17190.001,18592.546,20070.546,21528.734,22221.948,22899.476,21580.618,22030.683,22923.247,23086.612,24006.797,25553.345,26757.059,27770.078,29473.664,31369.973
Iceland,18763.177,19265.222,20239.145,20609.7,21833.901,23084.121,24678.383,25720.587,27097.93,28481.005,28886.311,29938.821,32905.358,35373.762,37321.632,40892.19,41867.216,39656.756,38594.025,40022.851,41005.016,42953.317,44220.718,46146.552,49683.007,51841.527,54121.367
India,1260.585,1323.373,1413.303,1522.247,1635.632,1698.113,1788.704,1934.667,2018.37,2129.957,2210.307,2394.524,2611.934,2901.043,3217.986,3573.845,3730.934,4020.226,4424.581,4750.287,5033.975,5371.271,5796.579,6254.95,6697.219,7182.802,7783.893
Indonesia,3417.835,3715.904,4014.556,4362.812,4735.058,4984.908,4327.559,4377.985,4646.85,4856.658,5080.64,5353.319,5696.024,6126.593,6568.549,7070.37,7636.641,7943.141,8432.703,8973.563,9554.342,10108.427,10661.626,11156.893,11719.18,12377.486,13162.464
Iran  (Islamic Republic of),8720.976,8909.794,8834.353,8979.07,9570.851,9520.293,9644.284,9658.949,10381.665,10526.5,11606.426,12735.019,13402.037,14325.787,15307.377,16567.758,16669.803,16583.85,17517.755,18183.549,16890.347,16906.32,17417.074,17107.303,19256.075,20199.588,21241.244
Iraq,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,6331.512,9711.572,9930.045,10547.558,10773.015,11609.745,11799.19,12380.02,13247.836,14986.095,15978.13,15207.687,15712.31,17219.43,16953.891,17428.589
Ireland,15016.188,15642.905,16861.767,18784.056,20723.147,23099.915,25064.974,27842.557,30757.335,32779.404,34780.927,35995.886,38727.556,41369.644,43743.531,45905.457,44259.221,42221.724,43291.161,45359.431,46058.269,47422.422,52133.597,65656.454,69248.282,75538.358,79924.706
Israel,13967.727,14457.111,15402.747,16784.29,17671.505,18245.58,18748.242,19222.18,20818.604,20814.589,20679.796,20944.067,22202.087,23440.685,25091.069,26876.389,27710.026,27662.766,28997.396,30569.21,31235.983,32463.708,33545.999,34116.849,35220.049,36340.084,37673.05
Italy,21614.838,21913.853,22853.342,23864.802,24613.027,25479.5,26159.329,26971.725,28601.612,29752.447,30264.001,30805.385,31916.204,33004.025,34550.935,35855.532,35872,33924.616,34767.344,35544.006,35051.974,34804.562,35310.513,36025.502,36877.166,38140.338,39499.581
Jamaica,5709.309,5925.236,6110.993,6338.031,6408.58,6349.495,6278.962,6376.065,6511.594,6686.45,6778.27,7111.663,7352.393,7609.757,8028.838,8324.701,8385.31,8129.487,8074.874,8319.149,8385.507,8492.319,8647.014,8766.541,8962.864,9162.625,9462.729
Japan,21641.705,21970.645,22598.324,23641.77,24765.245,25399.76,25317.778,25592.204,26850.229,27508.46,27904.892,28843.273,30266.108,31754.903,33196.911,34640.992,34952.083,33346.998,35157.271,35775.296,37059.944,38477.817,39381.087,40392.158,41296.947,42831.523,44426.077
Jordan,4810.366,4953.679,5123.184,5391.417,5451.587,5572.736,5656.014,5792.686,6025.073,6329.417,6638.394,6875.746,7497.471,8180.229,8907.29,9679.322,10353.225,10763.958,10904.753,11169.296,11422.468,11675.585,11986.449,12135.159,12264.495,12494.367,12812.648
Kazakhstan,7196.32,6748.425,6444.521,6087.302,6307.941,6650.634,6697.771,7009.049,7890.101,9168.301,10210.511,11318.399,12641.584,14178.082,15990.803,17676.906,18139.772,18245.027,19530.312,21129.033,22277.896,23644.954,24734.035,24940.131,25167.387,26252.074,27292.575
Kenya,1679.843,1668.48,1696.589,1753.976,1806.269,1791.389,1810.899,1824.699,1822.301,1885.845,1872.244,1912.991,2001.362,2124.037,2255.113,2407.161,2393.886,2424.782,2605.348,2750.211,2842.337,2977.582,3104.124,3227.001,3364.085,3491.123,3663.695
Kiribati,1177.651,1201.109,1230.579,1237.484,1253.133,1277.894,1357.152,1330.871,1418.081,1404.082,1455.42,1486.948,1475.872,1569.988,1582.955,1622.804,1585.498,1576.041,1546.866,1582.804,1664.652,1740.622,1737.904,1912.051,1920.125,1975.809,2026.703
Korea. Republic of,9123.118,9878.791,10907.561,12078.583,13107.596,13989.766,13271.703,14892.397,16452.392,17454.406,18929.844,19770.878,21225.652,22719.95,24501.205,26393.701,27463.503,27724.786,29738.219,31228.513,32362.259,33683.619,35212.004,36394.545,37730.497,39433.779,41387.88
Kosovo,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,4882.972,5561.482,5464.018,5775.078,5739.674,6076.058,6385.453,6998.115,7364.543,7565.049,7787.754,8172.772,8531.198,8930.145,9065.975,9561.07,10070.938,10514.768,11018.536
